iter	Logloss
0	0.6929771386
1	0.6928077684
2	0.692638444
3	0.6924696221
4	0.6923010744
5	0.6921328922
6	0.6919652126
7	0.6917977157
8	0.6916308585
9	0.6914650521
10	0.691298469
11	0.6911325713
12	0.6909669933
13	0.6908016896
14	0.6906396754
15	0.6904751026
16	0.6903170634
17	0.6901529019
18	0.6899901567
19	0.6898269089
20	0.6896639353
21	0.689501053
22	0.6893386734
23	0.6891765678
24	0.6890159244
25	0.6888542757
26	0.6886931753
27	0.6885308414
28	0.6883075122
29	0.6881482851
30	0.6879907485
31	0.6878296481
32	0.687676589
33	0.6875180473
34	0.6873614701
35	0.6872029284
36	0.6870445693
37	0.6868867129
38	0.686726572
39	0.6865691725
40	0.6864125039
41	0.6862566578
42	0.6861011772
43	0.6858917833
44	0.685736257
45	0.6855809592
46	0.6854229657
47	0.6852683075
48	0.6851139691
49	0.6849111545
50	0.6847572273
51	0.6846006045
52	0.6844471799
53	0.6842942122
54	0.6841477324
55	0.6839871803
56	0.6838346238
57	0.6836339566
58	0.6834859233
59	0.6833333211
60	0.6831775207
61	0.6830265634
62	0.6828292314
63	0.682678868
64	0.6825312917
65	0.682381111
66	0.6822324381
67	0.6820124443
68	0.681862355
69	0.6817133623
70	0.6815121468
71	0.6813161398
72	0.6811756453
73	0.6810279319
74	0.6808805383
75	0.6806667125
76	0.6805197301
77	0.6803738899
78	0.68022773
79	0.6800818441
80	0.6799363695
81	0.6797877423
82	0.6796424047
83	0.679497524
84	0.6792791293
85	0.6791349796
86	0.6789906472
87	0.6788488734
88	0.6787057289
89	0.6785599801
90	0.6784171555
91	0.6782748334
92	0.6781229623
93	0.6779307018
94	0.6777881513
95	0.6776467887
96	0.677505289
97	0.6773660738
98	0.6771551721
99	0.6770193379
100	0.6768788891
101	0.6766917001
102	0.6765517996
103	0.6764153714
104	0.6762760191
105	0.6761372608
106	0.6759985482
107	0.6758608864
108	0.6757228134
109	0.6755847861
110	0.6754339658
111	0.6752980859
112	0.6751598302
113	0.6749596655
114	0.6747569422
115	0.6745654128
116	0.674429076
117	0.6742931961
118	0.6741443405
119	0.6740086433
120	0.6738695652
121	0.6737347818
122	0.673553898
123	0.6734171957
124	0.6732826408
125	0.6730795063
126	0.6729429867
127	0.6727555693
128	0.6726253092
129	0.6724929931
130	0.6723597632
131	0.6722268988
132	0.6720906077
133	0.6719591596
134	0.671827209
135	0.6716391063
136	0.671507841
137	0.6713233477
138	0.6711366157
139	0.6709574224
140	0.6707786859
141	0.6706489284
142	0.6705036822
143	0.670242568
144	0.6700604963
145	0.6699316068
146	0.6698023976
147	0.6696741935
148	0.6695434764
149	0.6694150896
150	0.66926299
151	0.6690826088
152	0.6689097662
153	0.6687878216
154	0.668659252
155	0.6684874146
156	0.6683646932
157	0.6681695544
158	0.6680428123
159	0.6678696043
160	0.6677431821
161	0.6675734007
162	0.6674475268
163	0.6673041995
164	0.667030201
165	0.6669046925
166	0.6667361905
167	0.6666120984
168	0.6664846254
169	0.6663582489
170	0.6662310042
171	0.6661076432
172	0.6659799417
173	0.6658528341
174	0.6657302955
175	0.6655897553
176	0.6654668512
177	0.6653401091
178	0.6652177532
179	0.6650524951
180	0.6649304591
181	0.6648086972
182	0.66463654
183	0.664470825
184	0.6642935506
185	0.6641725655
186	0.6640076729
187	0.6638374803
188	0.6637130684
189	0.6635420535
190	0.6634167278
191	0.6632942806
192	0.6630178148
193	0.6627320284
194	0.6624499885
195	0.6622885683
196	0.6621700047
197	0.6620092241
198	0.6618401738
199	0.6617176809
200	0.6615962845
201	0.6614784518
202	0.6613606192
203	0.6611889646
204	0.6610276358
205	0.6609109454
206	0.6607939352
207	0.6606807628
208	0.6604020126
209	0.6601555647
210	0.6599702947
211	0.6596890772
212	0.6595232251
213	0.6592807522
214	0.6591014675
215	0.6589829038
216	0.6588190621
217	0.6586880709
218	0.6585734822
219	0.6584593047
220	0.6582951889
221	0.6581600857
222	0.6579231868
223	0.6578085981
224	0.6576620726
225	0.6574238031
226	0.6572594588
227	0.6571478399
228	0.6569113979
229	0.6567988195
230	0.6566861955
231	0.6565224908
232	0.6563704826
233	0.6561007788
234	0.6559356578
235	0.6557419353
236	0.6556257018
237	0.6554971779
238	0.6552666755
239	0.6551533204
240	0.6550216439
241	0.6548851701
242	0.6547339386
243	0.6546186189
244	0.6544555082
245	0.6542965552
246	0.6541334445
247	0.653978238
248	0.6538691777
249	0.6537132859
250	0.6534472373
251	0.6533362581
252	0.6532225831
253	0.6529934514
254	0.6528296554
255	0.6526374406
256	0.6524058417
257	0.6522981978
258	0.6521298328
259	0.6519720678
260	0.6518651092
261	0.6517322448
262	0.6515790943
263	0.6514492454
264	0.6513347481
265	0.6512290231
266	0.6510781115
267	0.6509495876
268	0.6507621702
269	0.6506125835
270	0.6504595244
271	0.6502014714
272	0.6501001783
273	0.6499422762
274	0.6498373736
275	0.6497321969
276	0.6496272486
277	0.6495185082
278	0.6494146565
279	0.649310622
280	0.6490966134
281	0.6489868678
282	0.648773773
283	0.648619983
284	0.6484662386
285	0.6483430146
286	0.648192971
287	0.6480374447
288	0.6479309887
289	0.6478216086
290	0.6475679418
291	0.6474658719
292	0.647213256
293	0.6470619788
294	0.6468445892
295	0.6466953681
296	0.6465896431
297	0.6464394168
298	0.6461888568
299	0.6459826611
300	0.6458789921
301	0.6457745465
302	0.6456740758
303	0.6455492527
304	0.6454014022
305	0.6452530491
306	0.6451196364
307	0.6449130296
308	0.6447624834
309	0.6445451395
310	0.6444405568
311	0.6442355033
312	0.6440892063
313	0.6438779848
314	0.643782083
315	0.643658722
316	0.6435126534
317	0.6433657167
318	0.643267302
319	0.643060558
320	0.6429247695
321	0.6427734009
322	0.6426380236
323	0.642519597
324	0.6422752051
325	0.6421308727
326	0.6419863119
327	0.6418423907
328	0.6416986065
329	0.6415537258
330	0.6413478043
331	0.6412240777
332	0.6411199519
333	0.6409564757
334	0.6408249363
335	0.6406162277
336	0.6404683772
337	0.6402241223
338	0.6401298197
339	0.6399860812
340	0.6398943372
341	0.6397728037
342	0.6396295678
343	0.6394565426
344	0.6392559667
345	0.6391553132
346	0.6390600967
347	0.6389193738
348	0.6387926317
349	0.6385719983
350	0.6384505562
351	0.6383105642
352	0.638211053
353	0.6381117245
354	0.6379715955
355	0.6378267605
356	0.6377304019
357	0.637519226
358	0.6373575774
359	0.6372528119
360	0.63715458
361	0.6370166897
362	0.6368914554
363	0.6367615152
364	0.6366479316
365	0.6365287283
366	0.6363830252
367	0.6362398807
368	0.6361152404
369	0.6360273799
370	0.6358970284
371	0.6357586356
372	0.6356552408
373	0.6355127817
374	0.6353852629
375	0.635246596
376	0.6350977403
377	0.6349601699
378	0.6348214573
379	0.6346831559
380	0.6345420217
381	0.6344069642
382	0.634269074
383	0.6340746661
384	0.6339376897
385	0.6337970581
386	0.6336599446
387	0.6335615756
388	0.6334745376
389	0.6333809659
390	0.633187746
391	0.6329942976
392	0.632858372
393	0.6327355136
394	0.6326390178
395	0.632474308
396	0.6323805079
397	0.6321845466
398	0.6320690899
399	0.6319723657
400	0.6318565434
401	0.6316702225
402	0.6315358047
403	0.6314024377
404	0.6312912757
405	0.6311604673
406	0.6310116573
407	0.6308570905
408	0.6307451061
409	0.6306109624
410	0.6304970134
411	0.6304024823
412	0.6302110442
413	0.6300769919
414	0.6298832237
415	0.6297879159
416	0.6296495688
417	0.6295618911
418	0.6294333214
419	0.6292074337
420	0.6290743865
421	0.6289494264
422	0.6288167904
423	0.6286259463
424	0.6284934017
425	0.6283066697
426	0.628200899
427	0.6281023929
428	0.6279703966
429	0.6278286228
430	0.6276965351
431	0.6275650871
432	0.6274338218
433	0.6273015971
434	0.6272122289
435	0.6270316649
436	0.6269152486
437	0.6267835264
438	0.6266746489
439	0.6265686041
440	0.626430394
441	0.6262995857
442	0.6261737117
443	0.6260481119
444	0.6259253448
445	0.625774753
446	0.6256597988
447	0.6255274826
448	0.6253982277
449	0.6252188973
450	0.6250403893
451	0.6249261204
452	0.6248345135
453	0.6246244342
454	0.6244883258
455	0.6243083101
456	0.6241146333
457	0.6240103247
458	0.6238914412
459	0.6237060798
460	0.6235781955
461	0.6234974169
462	0.6233654663
463	0.6232364398
464	0.6231223537
465	0.6229943323
466	0.622879698
467	0.6227529559
468	0.6226255742
469	0.6225157829
470	0.6223894978
471	0.622262573
472	0.622140674
473	0.6220150285
474	0.621889383
475	0.6217991924
476	0.621673227
477	0.6215474902
478	0.6214223016
479	0.6212974785
480	0.6211188334
481	0.6209915431
482	0.6208104765
483	0.6206862931
484	0.620561607
485	0.6204344538
486	0.6203246168
487	0.620147114
488	0.6200626345
489	0.6199803024
490	0.6197924282
491	0.6196830937
492	0.6195466199
493	0.6194237614
494	0.6192999892
495	0.6191830246
496	0.6190596636
497	0.6189414655
498	0.6187686686
499	0.6186457188
