iter	Passed	Remaining
0	13	2679
1	19	1907
2	24	1605
3	29	1446
4	35	1374
5	40	1305
6	45	1252
7	51	1226
8	56	1193
9	61	1165
10	66	1150
11	72	1129
12	77	1108
13	82	1099
14	87	1084
15	92	1068
16	98	1057
17	103	1048
18	108	1035
19	114	1026
20	119	1018
21	124	1007
22	129	996
23	135	991
24	140	982
25	145	972
26	151	968
27	156	959
28	161	951
29	166	945
30	172	938
31	177	930
32	182	925
33	187	917
34	192	908
35	198	904
36	203	897
37	208	889
38	214	883
39	219	878
40	224	870
41	229	863
42	235	858
43	239	850
44	244	842
45	249	836
46	254	828
47	258	820
48	263	813
49	269	807
50	273	799
51	278	792
52	283	786
53	288	779
54	293	772
55	298	767
56	303	760
57	307	753
58	312	746
59	317	741
60	322	734
61	327	729
62	332	723
63	337	717
64	342	710
65	347	704
66	352	699
67	356	692
68	361	686
69	366	681
70	371	675
71	376	668
72	381	663
73	386	657
74	390	651
75	395	645
76	400	640
77	405	634
78	410	628
79	415	622
80	420	617
81	424	610
82	429	605
83	434	600
84	439	594
85	443	588
86	449	583
87	453	577
88	458	571
89	463	566
90	468	561
91	473	555
92	477	549
93	482	544
94	487	538
95	492	533
96	498	528
97	502	523
98	507	517
99	511	511
100	516	506
101	520	500
102	525	494
103	529	489
104	534	483
105	539	477
106	543	472
107	548	466
108	552	461
109	557	455
110	561	450
111	566	445
112	571	440
113	576	434
114	580	429
115	585	424
116	590	418
117	595	413
118	601	409
119	605	403
120	610	398
121	616	393
122	620	388
123	625	383
124	630	378
125	635	373
126	640	367
127	644	362
128	650	357
129	654	352
130	659	347
131	664	342
132	669	337
133	673	331
134	678	326
135	684	321
136	688	316
137	693	311
138	698	306
139	703	301
140	707	296
141	712	291
142	718	286
143	722	280
144	727	275
145	732	271
146	737	265
147	742	260
148	747	255
149	752	250
150	756	245
151	761	240
152	766	235
153	770	230
154	775	225
155	780	220
156	786	215
157	790	210
158	795	205
159	800	200
160	804	194
161	809	189
162	814	184
163	819	179
164	823	174
165	828	169
166	832	164
167	837	159
168	841	154
169	846	149
170	852	144
171	857	139
172	862	134
173	868	129
174	872	124
175	877	119
176	881	114
177	886	109
178	891	104
179	895	99
180	900	94
181	904	89
182	909	84
183	913	79
184	918	74
185	922	69
186	927	64
187	931	59
188	936	54
189	940	49
190	945	44
191	949	39
192	954	34
193	958	29
194	963	24
195	967	19
196	972	14
197	976	9
198	981	4
199	985	0
